Question,ClusterLabel,MergedCluster
"Wer ist verpflichtet, die Kosten der Nachbesserungsarbeiten zu tragen, wenn die Werkleistung Mängel aufweist?","erfüllt, müssen, rolle, spielt, wer",0
Wie ist die Höhe eines Schadensersatzanspruchs bei mangelhafter Werkleistung zu berechnen?,"erfüllt, müssen, rolle, spielt, wer",0
Unter welchen Bedingungen kann eine Aufrechnung mit einer Schadensersatzforderung aus einem anderen Bauvorhaben erklärt werden?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für die Verrechnung eines Schadensersatzanspruchs mit einer Werklohnforderung?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt ein Vergleich im Zusammenhang mit Schadensersatzansprüchen aus mangelhafter Werkleistung?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn eine Aufrechnung mit einem Schadensersatzanspruch nicht substantiiert dargelegt wird?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer für den Verlust von Diapositiven während des Transports haften muss?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, den Wert von transportierten Gütern anzugeben?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Unterschrift des Empfängers bei der Haftung des Frachtführers?,"erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Vertragsschluss zwischen einem Versender und einem Frachtführer trotz unklarer Wertangaben der Sendung zustande kommen?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für die Haftung des Frachtführers bei vorsätzlicher Pflichtverletzung durch seinen Mitarbeiter?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung haben Allgemeine Geschäftsbedingungen (AGB) für die Haftung des Frachtführers?,"erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Schadensersatzanspruch des Eigentümers gegen den Empfänger der Diapositive geltend gemacht werden?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn der Schädiger die Leistung ernsthaft und endgültig ablehnt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit eine Stammkapitalerhöhung im Interesse der Gesellschaft liegt?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, die Liquidität der Gesellschaft zu berücksichtigen, wenn eine Vergütung entnommen wird?","erfüllt, müssen, rolle, spielt, wer",0
"Wie kann eine Gesellschafterin ihre Treuepflichten verletzen, wenn sie ihre Vergütung entnimmt?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Kreditwürdigkeit der Gesellschaften bei einer Stammkapitalerhöhung?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für die Auszahlung der erhöhten Vergütung an die Komplementär-GmbH?,"erfüllt, müssen, rolle, spielt, wer",0
Wann ist eine einstimmige Entscheidung der Gesellschafter für die Auszahlung der erhöhten Vergütung erforderlich?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Gründe rechtfertigen eine Stammkapitalerhöhung, die zu einer Erhöhung der Haftungsvergütung führt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedingungen müssen erfüllt sein, damit eine Gesellschafterin ihre Vergütung entnehmen kann, ohne ihre Treuepflichten zu verletzen?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsfolgen hat eine unzulässige Stammkapitalerhöhung für die Gesellschaften und ihre Gesellschafter?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Kreditwürdigkeit der Gesellschaften bei der Entscheidung über eine Stammkapitalerhöhung?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Betriebsgefahr bei der Haftungsquote im Schadensersatzrecht?,"erfüllt, müssen, rolle, spielt, wer",0
Unter welchen Bedingungen müssen Sachverständigenkosten im Rahmen des Schadensersatzrechts quotiert werden?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, Sachverständigenkosten im Falle einer quotenmäßigen Haftung zu erstatten?","erfüllt, müssen, rolle, spielt, wer",0
Wie sind Sachverständigenkosten im Schadensersatzrecht einzuordnen?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für die Erstattung von Sachverständigenkosten im Schadensersatzrecht?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die Eigenhaftungsquote des Geschädigten für die Erstattung von Sachverständigenkosten?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Verursachung des Schadens bei der Quotierung von Sachverständigenkosten?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsfolge ergibt sich aus der quotenmäßigen Haftung des Schädigers bezüglich der Erstattung von Sachverständigenkosten?,"erfüllt, müssen, rolle, spielt, wer",0
"Wie ist die Haftung des Schädigers im Schadensersatzrecht geregelt, wenn der Geschädigte ebenfalls für den Schaden verantwortlich ist?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedeutung haben die ""Umstände"" im Schadensersatzrecht bei der Quotierung von Sachverständigenkosten?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit Versicherte Bonuspunkte erhalten können?","erfüllt, müssen, rolle, spielt, wer",0
Wer entscheidet über die Verwendung der Rückstellung für Überschussverteilung und die Zuteilung von Bonuspunkten?,"erfüllt, müssen, rolle, spielt, wer",0
Wie ist die Höhe der Überschussbeteiligung zu bestimmen?,"erfüllt, müssen, rolle, spielt, wer",0
"Warum ist es dem Versicherer überlassen, in welcher Höhe er ermittelte Überschüsse zuteilt?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die paritätische Besetzung des Verwaltungsrats der Beklagten bei der Entscheidungsfindung über die Verwendung der Rückstellung für Überschussverteilung und die Zuteilung von Bonuspunkten?,"erfüllt, müssen, rolle, spielt, wer",0
Wie beeinflusst die Dynamisierung der Anwartschaften der Versicherten die Zuteilung bzw. Gutschrift von Bonuspunkten?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte haben Versicherte, wenn die Beklagte den satzungsgemäßen Vorgaben für die Überschussbeteiligung nicht nachkommt?","erfüllt, müssen, rolle, spielt, wer",0
Welche Auswirkungen hat die Verweigerung eines Auskunftsanspruchs auf den angekündigten Leistungsantrag?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsgrundlage gilt für die Haftung einer Person, die einen Arbeitsunfall grob fahrlässig herbeiführt, obwohl sie eine Unfallverhütungsvorschrift verletzt hat?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Pflichten hat ein Arbeitgeber, um seine Mitarbeiter vor tödlichen Gefahren am Arbeitsplatz zu schützen, insbesondere bei Arbeiten in großer Höhe?","erfüllt, müssen, rolle, spielt, wer",0
Unter welchen Bedingungen kann ein Verstoß gegen eine Unfallverhütungsvorschrift als grob fahrlässig eingestuft werden?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, während Maurerarbeiten in großer Höhe geeignete Absturzsicherungen vorzusehen?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Höhe des Absturzes bei der Beurteilung des Verschuldensgrades bei einem Arbeitsunfall?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn eine Person einen Arbeitsunfall grob fahrlässig herbeiführt und somit den Versicherungsfall verursacht?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedeutung hat es, ob eine Person die Gefahr eines Arbeitsunfalls erkennt oder nicht, wenn sie ihre Pflichten verletzt und somit den Unfall verursacht?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedeutung hat es, ob eine Person ihre Pflichten nur kurzzeitig verletzt oder ob die Verletzung über einen längeren Zeitraum andauert, wenn sie somit einen Arbeitsunfall verursacht?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedeutung hat es, ob eine Person ihre Pflichten aus eigenem Antrieb verletzt oder ob sie von einer dritten Person dazu angestiftet wurde, wenn sie somit einen Arbeitsunfall verursacht?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rolle spielt es, ob eine Person ihre Pflichten aus Unwissenheit verletzt oder ob sie die Vorschriften kennt und absichtlich ignoriert, wenn sie somit einen Arbeitsunfall verursacht?","erfüllt, müssen, rolle, spielt, wer",0
Unter welchen Bedingungen kann eine Bank für Beratungsfehler eines Dritten haften?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, die Kosten für eine notwendige Nachbesserung zu tragen, wenn der ursprüngliche Auftragnehmer insolvent ist?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Verjährungsfrist bei der Geltendmachung von Schadensersatzansprüchen?,"erfüllt, müssen, rolle, spielt, wer",0
"Wie ist der Begriff ""Sachmangel"" im Rahmen des Kaufrechts definiert?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolgen treten ein, wenn ein Mieter die Miete nicht zahlt?","erfüllt, müssen, rolle, spielt, wer",0
"Warum ist es wichtig, zwischen Schadensersatz und Schmerzensgeld zu unterscheiden?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für die Geltendmachung von Ansprüchen aus unerlaubter Handlung?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedingungen müssen erfüllt sein, damit ein Arbeitnehmer eine Lohnfortzahlung im Krankheitsfall beanspruchen kann?","erfüllt, müssen, rolle, spielt, wer",0
"Wie ist der Begriff ""Verschuldenshaftung"" im Rahmen des Deliktsrechts zu verstehen?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Anforderungen müssen an eine arglistige Täuschung gestellt werden, damit sie als solche gilt?","erfüllt, müssen, rolle, spielt, wer",0
Wer trägt die Beweislast bei einer arglistigen Täuschung und unter welchen Umständen kann sie sich umkehren?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Genehmigungsbedürftigkeit bei der Nutzung von Räumen als Wohnraum?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Auswirkungen hat es, wenn Räume als Wohnraum angepriesen werden, obwohl die notwendige Genehmigung nicht vorliegt?","erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die secondary Darlegungslast bei der Beweislastverteilung in arglistigen Täuschungen?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte haben Käufer, wenn sie arglistig getäuscht wurden?","erfüllt, müssen, rolle, spielt, wer",0
Welche Pflichten haben Verkäufer bei der Information über das Kaufobjekt und welche Konsequenzen können sich daraus ergeben?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Aufklärung des Käufers bei der arglistigen Täuschung und wann kann sie den Irrtum des Käufers beseitigen?,"erfüllt, müssen, rolle, spielt, wer",0
"Wie kann ein Käufer beweisen, dass er arglistig getäuscht wurde, wenn die Täuschung bereits vor einer behaupteten Aufklärung stattfand?","erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die Genehmigungsbedürftigkeit von Nutzungsänderungen im Zusammenhang mit arglistigen Täuschungen?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Immobilienfonds und dessen Finanzierung durch ein Kreditgeschäft als verbundenes Geschäft i.S.v. § 9 Abs. 1, Abs. 3 VerbrKrG gelten?","erfüllt, müssen, rolle, spielt, wer",0
"Unter welchen Bedingungen kann ein Einwendungsdurchgriff nach § 9 Abs. 3 VerbrKrG stattfinden, obwohl den Beklagten keine Ansprüche gegen die Fondsgesellschaft oder deren Initiatoren zustehen?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rechte haben die Beklagten im Falle eines Schadensersatzanspruchs gegenüber den Gründungsgesellschaftern des Fonds?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Darlehensvaluta im Rahmen des Rückforderungsdurchgriffs nach § 9 Abs. 2 Satz 4 VerbrKrG?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Verpflichtungen haben die Beklagten im Hinblick auf Steuervorteile, die sie durch die Fondsbeteiligung erlangt haben, im Wege des Vorteilsausgleichs?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für den Anspruch der Beklagten auf Rückgewähr ihrer bereits erbrachten Leistungen gegenüber der Klägerin?,"erfüllt, müssen, rolle, spielt, wer",0
"Wie ist der Begriff ""verbundenes Geschäft"" i.S.v. § 9 Abs. 1, Abs. 3 VerbrKrG zu interpretieren, insbesondere im Zusammenhang mit dem Beitritt zu einem Immobilienfonds und dessen Finanzierung durch ein Kreditgeschäft?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn die Voraussetzungen für ein verbundenes Geschäft i.S.v. § 9 Abs. 1, Abs. 3 VerbrKrG erfüllt sind?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Arzt mehrere Leistungen neben einer Hauptleistung abrechnen kann?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Gebührenordnung für Ärzte (GOÄ) bei der Abrechnung ärztlicher Leistungen?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, den Patienten über die Entgelte von Wahlleistungen und deren Inhalt zu unterrichten?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsgrundlage gilt für die Abrechnung von ärztlichen Leistungen, die nicht im Gebührenverzeichnis aufgeführt sind?","erfüllt, müssen, rolle, spielt, wer",0
"Wie ist zu entscheiden, ob eine ärztliche Leistung als selbständige Leistung berechnet werden kann?","erfüllt, müssen, rolle, spielt, wer",0
Welche Gründe rechtfertigen eine analoge Anwendung der Gebührenordnung für Ärzte?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat der medizinische Fortschritt für die Anwendung der Gebührenordnung für Ärzte?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn ein Arzt mehrere Leistungen neben einer Hauptleistung abrechnet, obwohl sie nicht selbständig berechenbar sind?","erfüllt, müssen, rolle, spielt, wer",0
"Unter welchen Voraussetzungen ist eine Schenkung unwirksam, wenn sie nicht der Form nach § 518 Abs. 1 BGB entspricht?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt der Wille des Schenkers bei der Heilung des Formmangels einer Schenkung durch den Vollzug?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer kann den Herausgabeanspruch nach § 952 BGB geltend machen, wenn er im Besitz des Fahrzeugs ist?","erfüllt, müssen, rolle, spielt, wer",0
"Wie kann eine dingliche Einigung bei einer Schenkung erfolgen, ohne dass die Beteiligten das Abstraktionsprinzip kennen?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Beweise müssen erbracht werden, um eine Schenkungserklärung zu belegen?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn eine Schenkung wegen Formmangels unwirksam ist und nicht geheilt wird?","erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Kreditinstitut seine Rechte aus einer Sicherungsübereignung geltend machen?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die Übertragung eines Eigentumsanwartschaftsrechts für den Empfänger?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Käufer nach § 437 Nr. 3 in Verbindung mit §§ 440, 280, 281, 283 und 311a BGB einen Nutzungsausfallschaden geltend machen kann, obwohl er bereits vom Kaufvertrag zurückgetreten ist?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, Wertersatz für die Nutzung einer Kaufsache zu zahlen, wenn der Käufer vom Kaufvertrag zurücktritt?","erfüllt, müssen, rolle, spielt, wer",0
"Wie wird der Schadensersatzanspruch des Käufers im Falle eines Mangels der Kaufsache berechnet, wenn der Käufer vom Vertrag zurückgetreten ist?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt der § 325 BGB bei der Geltendmachung eines Schadensersatzanspruchs durch den Käufer nach dem Rücktritt vom Kaufvertrag?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsgrundlage gilt für die Erstattung von Mietwagenkosten, wenn der Käufer aufgrund eines Mangels der Kaufsache Schadensersatz statt der Leistung verlangt?","erfüllt, müssen, rolle, spielt, wer",0
"Unter welchen Bedingungen kann der Käufer keine Erstattung der Mietwagenkosten beanspruchen, obwohl er Schadensersatz statt der Leistung verlangt?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, die Reparaturkosten eines Fahrzeugs zu tragen, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt?","erfüllt, müssen, rolle, spielt, wer",0
"Wie ist der Schadensersatzanspruch des Käufers zu berechnen, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt, jedoch die Reparaturkosten nicht trägt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolgen treten ein, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt und das Fahrzeug in beschädigtem Zustand zurückgibt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rolle spielt der § 346 Abs. 3 Satz 2 BGB bei der Erstattung von Mietwagenkosten, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit eine Reise als vereitelt gilt und eine Entschädigung fällig wird?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, Abhilfe zu leisten, wenn eine Reise vereitelt wird?","erfüllt, müssen, rolle, spielt, wer",0
Wie ist die Höhe der Entschädigung bei vereitelter Reise zu bemessen?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt der Reisepreis bei der Bemessung der Entschädigung?,"erfüllt, müssen, rolle, spielt, wer",0
Warum kann eine Entschädigung in Höhe des vollen Reisepreises bei vereitelter Reise nicht immer angemessen sein?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die Art der Reise bei der Bemessung der Entschädigung?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte hat der Reisende, wenn er seine gebuchte Reise nicht antreten kann?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Pflichten hat der Reisende bei der Nutzung der Zeit seiner gebuchten, aber vereitelten Reise?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für den Ersatz der Mehrkosten einer Ersatzreise?,"erfüllt, müssen, rolle, spielt, wer",0
"Wie ist zu entscheiden, ob die Kosten einer Ersatzreise als erforderlich anzusehen sind?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Pflichtteilsanspruch abgetreten werden kann?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist berechtigt, einen Pflichtteilsanspruch geltend zu machen, wenn dieser abgetreten wurde?","erfüllt, müssen, rolle, spielt, wer",0
"Wie kann der Wille der Vertragsparteien bei einem Erbverzicht ermittelt werden, wenn § 2350 BGB nicht zur Anwendung kommt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolgen treten ein, wenn ein Erbverzicht unwirksam ist, aber ein isolierter Pflichtteilsverzicht gewollt war?","erfüllt, müssen, rolle, spielt, wer",0
Wann ist eine teleologische Reduktion des § 2350 BGB geboten?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Hinweispflichten hat das Gericht, wenn es den Vortrag einer Partei nicht berücksichtigt hat?","erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die Vermutung des § 2350 BGB für die Wirksamkeit eines Erbverzichts?,"erfüllt, müssen, rolle, spielt, wer",0
"Wie kann der Kläger beweisen, dass er Rechte aus einem unbedingten Verzicht herleiten will, entgegen den Vermutungen des § 2350 BGB?","erfüllt, müssen, rolle, spielt, wer",0
Unter welchen Bedingungen kann ein Schadensersatzanspruch aus § 823 Abs. 1 BGB wegen Verletzung eines eigenen deliktsrechtlich geschützten Rechtsgutes geltend gemacht werden?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, Schadensersatz zu leisten, wenn ein Dritter durch eine unerlaubte Handlung geschädigt wird?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte hat ein Kläger, wenn er durch eine unerlaubte Handlung geschädigt wurde?","erfüllt, müssen, rolle, spielt, wer",0
"Wie kann ein Schadensersatzanspruch aus § 823 Abs. 1 BGB wegen Verletzung eines eigenen deliktsrechtlich geschützten Rechtsgutes geltend gemacht werden, wenn der Geschädigte nicht (Allein-)Inhaber des geschädigten Vermögens ist?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Gesellschaft des bürgerlichen Rechts bei der Geltendmachung eines Schadensersatzanspruchs aus § 823 Abs. 1 BGB?,"erfüllt, müssen, rolle, spielt, wer",0
