question,cluster
Welche Bedeutung hat die Geschäftsbesorgung im Sinne von § 675 BGB für die Anwendung der §§ 407 ff. HGB?,103
Wie ist der Anwendungsbereich der Verjährungsvorschrift des § 439 HGB zu bestimmen?,51
Welche Rechtsgrundlage gilt für den Regress des Frachtführers gegen den Auftraggeber im Falle von Zollgebühren?,17
"Welche Voraussetzungen müssen erfüllt sein, damit ein Gesellschafter einer GmbH persönlich für die Verbindlichkeiten der Gesellschaft haften kann?",24
Welche Rolle spielt die Überwachung der Mittelverwendung durch einen Gesellschafter im Hinblick auf eine mögliche Haftung nach § 826 BGB?,103
"Wer ist verpflichtet, die zweckentsprechende Verwendung von Geld zu überwachen, wenn er eine Rechnung stellt?",40
Wie kann ein Gesellschafter seine Unkenntnis über den Bautenstand und den Baufortschritt im Rahmen einer Haftung nach § 826 BGB geltend machen?,103
"Welche Beweise kann ein Gesellschafter vorlegen, um seine Behauptungen im Rahmen einer Haftung nach § 826 BGB zu unterstützen?",46
Wie kann ein Gericht den Schädigungsvorsatz eines Beklagten im Rahmen einer Haftung nach § 826 BGB beurteilen?,103
"Welche Bedeutung hat die Beweisaufnahme im Rahmen einer Haftung nach § 826 BGB, insbesondere wenn es um Widersprüche in den Aussagen von Beteiligten geht?",46
Wie kann ein Gericht zwischen den Voraussetzungen für einen Haftungsdurchgriff für Gesellschaftsverbindlichkeiten und den Voraussetzungen der Haftung eines Gesellschafters aus § 826 BGB unterscheiden?,103
Welche Rechte hat ein Gesellschafter einer GmbH im Falle einer unzureichenden Vertragserfüllung durch die GmbH?,106
Wie kann ein Gericht im Rahmen einer Haftung nach § 826 BGB zwischen leichtfertigem und gewissenlosem Verhalten unterscheiden?,103
"Welche Voraussetzungen müssen erfüllt sein, damit eine Aufrechnung mit einem Schadensersatzanspruch aus einem Bauvorhaben erfolgreich ist?",24
"Wer ist verpflichtet, die Kosten der Nachbesserungsarbeiten zu tragen, wenn die Werkleistung Mängel aufweist?",105
Wie ist die Höhe eines Schadensersatzanspruchs bei mangelhafter Werkleistung zu berechnen?,45
Unter welchen Bedingungen kann eine Aufrechnung mit einer Schadensersatzforderung aus einem anderen Bauvorhaben erklärt werden?,18
Welche Rechtsgrundlage gilt für die Verrechnung eines Schadensersatzanspruchs mit einer Werklohnforderung?,17
Welche Rolle spielt ein Vergleich im Zusammenhang mit Schadensersatzansprüchen aus mangelhafter Werkleistung?,5
"Welche Rechtsfolge tritt ein, wenn eine Aufrechnung mit einem Schadensersatzanspruch nicht substantiiert dargelegt wird?",104
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer für den Verlust von Diapositiven während des Transports haften muss?",24
"Wer ist verpflichtet, den Wert von transportierten Gütern anzugeben?",141
Welche Rolle spielt die Unterschrift des Empfängers bei der Haftung des Frachtführers?,12
Wie kann ein Vertragsschluss zwischen einem Versender und einem Frachtführer trotz unklarer Wertangaben der Sendung zustande kommen?,78
Welche Rechtsgrundlage gilt für die Haftung des Frachtführers bei vorsätzlicher Pflichtverletzung durch seinen Mitarbeiter?,17
Welche Bedeutung haben Allgemeine Geschäftsbedingungen (AGB) für die Haftung des Frachtführers?,1
Wie kann ein Schadensersatzanspruch des Eigentümers gegen den Empfänger der Diapositive geltend gemacht werden?,36
"Welche Rechtsfolge tritt ein, wenn der Schädiger die Leistung ernsthaft und endgültig ablehnt?",104
"Welche Voraussetzungen müssen erfüllt sein, damit eine Stammkapitalerhöhung im Interesse der Gesellschaft liegt?",24
"Wer ist verpflichtet, die Liquidität der Gesellschaft zu berücksichtigen, wenn eine Vergütung entnommen wird?",105
"Wie kann eine Gesellschafterin ihre Treuepflichten verletzen, wenn sie ihre Vergütung entnimmt?",23
Welche Rolle spielt die Kreditwürdigkeit der Gesellschaften bei einer Stammkapitalerhöhung?,5
Welche Rechtsgrundlage gilt für die Auszahlung der erhöhten Vergütung an die Komplementär-GmbH?,54
Wann ist eine einstimmige Entscheidung der Gesellschafter für die Auszahlung der erhöhten Vergütung erforderlich?,54
"Welche Gründe rechtfertigen eine Stammkapitalerhöhung, die zu einer Erhöhung der Haftungsvergütung führt?",121
"Welche Bedingungen müssen erfüllt sein, damit eine Gesellschafterin ihre Vergütung entnehmen kann, ohne ihre Treuepflichten zu verletzen?",23
Welche Rechtsfolgen hat eine unzulässige Stammkapitalerhöhung für die Gesellschaften und ihre Gesellschafter?,106
Welche Rolle spielt die Kreditwürdigkeit der Gesellschaften bei der Entscheidung über eine Stammkapitalerhöhung?,5
Welche Rolle spielt die Betriebsgefahr bei der Haftungsquote im Schadensersatzrecht?,5
Unter welchen Bedingungen müssen Sachverständigenkosten im Rahmen des Schadensersatzrechts quotiert werden?,115
"Wer ist verpflichtet, Sachverständigenkosten im Falle einer quotenmäßigen Haftung zu erstatten?",105
Wie sind Sachverständigenkosten im Schadensersatzrecht einzuordnen?,115
Welche Rechtsgrundlage gilt für die Erstattung von Sachverständigenkosten im Schadensersatzrecht?,17
Welche Bedeutung hat die Eigenhaftungsquote des Geschädigten für die Erstattung von Sachverständigenkosten?,5
Welche Rolle spielt die Verursachung des Schadens bei der Quotierung von Sachverständigenkosten?,5
Welche Rechtsfolge ergibt sich aus der quotenmäßigen Haftung des Schädigers bezüglich der Erstattung von Sachverständigenkosten?,17
"Wie ist die Haftung des Schädigers im Schadensersatzrecht geregelt, wenn der Geschädigte ebenfalls für den Schaden verantwortlich ist?",11
"Welche Bedeutung haben die ""Umstände"" im Schadensersatzrecht bei der Quotierung von Sachverständigenkosten?",5
"Welche Voraussetzungen müssen erfüllt sein, damit Versicherte Bonuspunkte erhalten können?",24
Wer entscheidet über die Verwendung der Rückstellung für Überschussverteilung und die Zuteilung von Bonuspunkten?,85
Wie ist die Höhe der Überschussbeteiligung zu bestimmen?,2
"Warum ist es dem Versicherer überlassen, in welcher Höhe er ermittelte Überschüsse zuteilt?",26
Welche Rolle spielt die paritätische Besetzung des Verwaltungsrats der Beklagten bei der Entscheidungsfindung über die Verwendung der Rückstellung für Überschussverteilung und die Zuteilung von Bonuspunkten?,80
Wie beeinflusst die Dynamisierung der Anwartschaften der Versicherten die Zuteilung bzw. Gutschrift von Bonuspunkten?,219
"Welche Rechte haben Versicherte, wenn die Beklagte den satzungsgemäßen Vorgaben für die Überschussbeteiligung nicht nachkommt?",105
Welche Auswirkungen hat die Verweigerung eines Auskunftsanspruchs auf den angekündigten Leistungsantrag?,31
"Welche Rechtsgrundlage gilt für die Haftung einer Person, die einen Arbeitsunfall grob fahrlässig herbeiführt, obwohl sie eine Unfallverhütungsvorschrift verletzt hat?",89
"Welche Pflichten hat ein Arbeitgeber, um seine Mitarbeiter vor tödlichen Gefahren am Arbeitsplatz zu schützen, insbesondere bei Arbeiten in großer Höhe?",101
Unter welchen Bedingungen kann ein Verstoß gegen eine Unfallverhütungsvorschrift als grob fahrlässig eingestuft werden?,210
"Wer ist verpflichtet, während Maurerarbeiten in großer Höhe geeignete Absturzsicherungen vorzusehen?",101
Welche Rolle spielt die Höhe des Absturzes bei der Beurteilung des Verschuldensgrades bei einem Arbeitsunfall?,5
"Welche Rechtsfolge tritt ein, wenn eine Person einen Arbeitsunfall grob fahrlässig herbeiführt und somit den Versicherungsfall verursacht?",89
"Welche Bedeutung hat es, ob eine Person die Gefahr eines Arbeitsunfalls erkennt oder nicht, wenn sie ihre Pflichten verletzt und somit den Unfall verursacht?",89
"Welche Bedeutung hat es, ob eine Person ihre Pflichten nur kurzzeitig verletzt oder ob die Verletzung über einen längeren Zeitraum andauert, wenn sie somit einen Arbeitsunfall verursacht?",89
"Welche Bedeutung hat es, ob eine Person ihre Pflichten aus eigenem Antrieb verletzt oder ob sie von einer dritten Person dazu angestiftet wurde, wenn sie somit einen Arbeitsunfall verursacht?",89
"Welche Rolle spielt es, ob eine Person ihre Pflichten aus Unwissenheit verletzt oder ob sie die Vorschriften kennt und absichtlich ignoriert, wenn sie somit einen Arbeitsunfall verursacht?",89
Unter welchen Bedingungen kann eine Bank für Beratungsfehler eines Dritten haften?,25
"Wer ist verpflichtet, die Kosten für eine notwendige Nachbesserung zu tragen, wenn der ursprüngliche Auftragnehmer insolvent ist?",105
Welche Rolle spielt die Verjährungsfrist bei der Geltendmachung von Schadensersatzansprüchen?,103
"Wie ist der Begriff ""Sachmangel"" im Rahmen des Kaufrechts definiert?",214
"Welche Rechtsfolgen treten ein, wenn ein Mieter die Miete nicht zahlt?",10
"Warum ist es wichtig, zwischen Schadensersatz und Schmerzensgeld zu unterscheiden?",206
Welche Rechtsgrundlage gilt für die Geltendmachung von Ansprüchen aus unerlaubter Handlung?,17
"Welche Bedingungen müssen erfüllt sein, damit ein Arbeitnehmer eine Lohnfortzahlung im Krankheitsfall beanspruchen kann?",24
"Wie ist der Begriff ""Verschuldenshaftung"" im Rahmen des Deliktsrechts zu verstehen?",214
"Welche Anforderungen müssen an eine arglistige Täuschung gestellt werden, damit sie als solche gilt?",24
Wer trägt die Beweislast bei einer arglistigen Täuschung und unter welchen Umständen kann sie sich umkehren?,113
Welche Rolle spielt die Genehmigungsbedürftigkeit bei der Nutzung von Räumen als Wohnraum?,12
"Welche Auswirkungen hat es, wenn Räume als Wohnraum angepriesen werden, obwohl die notwendige Genehmigung nicht vorliegt?",20
Welche Bedeutung hat die secondary Darlegungslast bei der Beweislastverteilung in arglistigen Täuschungen?,86
"Welche Rechte haben Käufer, wenn sie arglistig getäuscht wurden?",33
Welche Pflichten haben Verkäufer bei der Information über das Kaufobjekt und welche Konsequenzen können sich daraus ergeben?,181
Welche Rolle spielt die Aufklärung des Käufers bei der arglistigen Täuschung und wann kann sie den Irrtum des Käufers beseitigen?,113
"Wie kann ein Käufer beweisen, dass er arglistig getäuscht wurde, wenn die Täuschung bereits vor einer behaupteten Aufklärung stattfand?",33
Welche Bedeutung hat die Genehmigungsbedürftigkeit von Nutzungsänderungen im Zusammenhang mit arglistigen Täuschungen?,5
"Welche Voraussetzungen müssen erfüllt sein, damit ein Immobilienfonds und dessen Finanzierung durch ein Kreditgeschäft als verbundenes Geschäft i.S.v. § 9 Abs. 1, Abs. 3 VerbrKrG gelten?",74
"Unter welchen Bedingungen kann ein Einwendungsdurchgriff nach § 9 Abs. 3 VerbrKrG stattfinden, obwohl den Beklagten keine Ansprüche gegen die Fondsgesellschaft oder deren Initiatoren zustehen?",74
Welche Rechte haben die Beklagten im Falle eines Schadensersatzanspruchs gegenüber den Gründungsgesellschaftern des Fonds?,70
Welche Rolle spielt die Darlehensvaluta im Rahmen des Rückforderungsdurchgriffs nach § 9 Abs. 2 Satz 4 VerbrKrG?,74
"Welche Verpflichtungen haben die Beklagten im Hinblick auf Steuervorteile, die sie durch die Fondsbeteiligung erlangt haben, im Wege des Vorteilsausgleichs?",157
Welche Rechtsgrundlage gilt für den Anspruch der Beklagten auf Rückgewähr ihrer bereits erbrachten Leistungen gegenüber der Klägerin?,70
"Wie ist der Begriff ""verbundenes Geschäft"" i.S.v. § 9 Abs. 1, Abs. 3 VerbrKrG zu interpretieren, insbesondere im Zusammenhang mit dem Beitritt zu einem Immobilienfonds und dessen Finanzierung durch ein Kreditgeschäft?",74
"Welche Rechtsfolge tritt ein, wenn die Voraussetzungen für ein verbundenes Geschäft i.S.v. § 9 Abs. 1, Abs. 3 VerbrKrG erfüllt sind?",74
"Welche Voraussetzungen müssen erfüllt sein, damit ein Arzt mehrere Leistungen neben einer Hauptleistung abrechnen kann?",24
Welche Rolle spielt die Gebührenordnung für Ärzte (GOÄ) bei der Abrechnung ärztlicher Leistungen?,1
"Wer ist verpflichtet, den Patienten über die Entgelte von Wahlleistungen und deren Inhalt zu unterrichten?",40
"Welche Rechtsgrundlage gilt für die Abrechnung von ärztlichen Leistungen, die nicht im Gebührenverzeichnis aufgeführt sind?",88
"Wie ist zu entscheiden, ob eine ärztliche Leistung als selbständige Leistung berechnet werden kann?",130
Welche Gründe rechtfertigen eine analoge Anwendung der Gebührenordnung für Ärzte?,4
Welche Bedeutung hat der medizinische Fortschritt für die Anwendung der Gebührenordnung für Ärzte?,4
"Welche Rechtsfolge tritt ein, wenn ein Arzt mehrere Leistungen neben einer Hauptleistung abrechnet, obwohl sie nicht selbständig berechenbar sind?",104
"Unter welchen Voraussetzungen ist eine Schenkung unwirksam, wenn sie nicht der Form nach § 518 Abs. 1 BGB entspricht?",74
Welche Rolle spielt der Wille des Schenkers bei der Heilung des Formmangels einer Schenkung durch den Vollzug?,218
"Wer kann den Herausgabeanspruch nach § 952 BGB geltend machen, wenn er im Besitz des Fahrzeugs ist?",46
"Wie kann eine dingliche Einigung bei einer Schenkung erfolgen, ohne dass die Beteiligten das Abstraktionsprinzip kennen?",40
"Welche Beweise müssen erbracht werden, um eine Schenkungserklärung zu belegen?",24
"Welche Rechtsfolge tritt ein, wenn eine Schenkung wegen Formmangels unwirksam ist und nicht geheilt wird?",104
Wie kann ein Kreditinstitut seine Rechte aus einer Sicherungsübereignung geltend machen?,25
Welche Bedeutung hat die Übertragung eines Eigentumsanwartschaftsrechts für den Empfänger?,13
"Welche Voraussetzungen müssen erfüllt sein, damit ein Käufer nach § 437 Nr. 3 in Verbindung mit §§ 440, 280, 281, 283 und 311a BGB einen Nutzungsausfallschaden geltend machen kann, obwohl er bereits vom Kaufvertrag zurückgetreten ist?",74
"Wer ist verpflichtet, Wertersatz für die Nutzung einer Kaufsache zu zahlen, wenn der Käufer vom Kaufvertrag zurücktritt?",10
"Wie wird der Schadensersatzanspruch des Käufers im Falle eines Mangels der Kaufsache berechnet, wenn der Käufer vom Vertrag zurückgetreten ist?",11
Welche Rolle spielt der § 325 BGB bei der Geltendmachung eines Schadensersatzanspruchs durch den Käufer nach dem Rücktritt vom Kaufvertrag?,108
"Welche Rechtsgrundlage gilt für die Erstattung von Mietwagenkosten, wenn der Käufer aufgrund eines Mangels der Kaufsache Schadensersatz statt der Leistung verlangt?",11
"Unter welchen Bedingungen kann der Käufer keine Erstattung der Mietwagenkosten beanspruchen, obwohl er Schadensersatz statt der Leistung verlangt?",11
"Wer ist verpflichtet, die Reparaturkosten eines Fahrzeugs zu tragen, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt?",11
"Wie ist der Schadensersatzanspruch des Käufers zu berechnen, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt, jedoch die Reparaturkosten nicht trägt?",11
"Welche Rechtsfolgen treten ein, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt und das Fahrzeug in beschädigtem Zustand zurückgibt?",11
"Welche Rolle spielt der § 346 Abs. 3 Satz 2 BGB bei der Erstattung von Mietwagenkosten, wenn der Käufer aufgrund eines Mangels Schadensersatz statt der Leistung verlangt?",74
"Welche Voraussetzungen müssen erfüllt sein, damit eine Reise als vereitelt gilt und eine Entschädigung fällig wird?",24
"Wer ist verpflichtet, Abhilfe zu leisten, wenn eine Reise vereitelt wird?",33
Wie ist die Höhe der Entschädigung bei vereitelter Reise zu bemessen?,77
Welche Rolle spielt der Reisepreis bei der Bemessung der Entschädigung?,5
Warum kann eine Entschädigung in Höhe des vollen Reisepreises bei vereitelter Reise nicht immer angemessen sein?,77
Welche Bedeutung hat die Art der Reise bei der Bemessung der Entschädigung?,5
"Welche Rechte hat der Reisende, wenn er seine gebuchte Reise nicht antreten kann?",10
"Welche Pflichten hat der Reisende bei der Nutzung der Zeit seiner gebuchten, aber vereitelten Reise?",0
Welche Rechtsgrundlage gilt für den Ersatz der Mehrkosten einer Ersatzreise?,109
"Wie ist zu entscheiden, ob die Kosten einer Ersatzreise als erforderlich anzusehen sind?",130
"Welche Voraussetzungen müssen erfüllt sein, damit ein Pflichtteilsanspruch abgetreten werden kann?",24
"Wer ist berechtigt, einen Pflichtteilsanspruch geltend zu machen, wenn dieser abgetreten wurde?",91
"Wie kann der Wille der Vertragsparteien bei einem Erbverzicht ermittelt werden, wenn § 2350 BGB nicht zur Anwendung kommt?",46
"Welche Rechtsfolgen treten ein, wenn ein Erbverzicht unwirksam ist, aber ein isolierter Pflichtteilsverzicht gewollt war?",104
Wann ist eine teleologische Reduktion des § 2350 BGB geboten?,205
"Welche Hinweispflichten hat das Gericht, wenn es den Vortrag einer Partei nicht berücksichtigt hat?",11
Welche Bedeutung hat die Vermutung des § 2350 BGB für die Wirksamkeit eines Erbverzichts?,103
"Wie kann der Kläger beweisen, dass er Rechte aus einem unbedingten Verzicht herleiten will, entgegen den Vermutungen des § 2350 BGB?",46
Unter welchen Bedingungen kann ein Schadensersatzanspruch aus § 823 Abs. 1 BGB wegen Verletzung eines eigenen deliktsrechtlich geschützten Rechtsgutes geltend gemacht werden?,74
"Wer ist verpflichtet, Schadensersatz zu leisten, wenn ein Dritter durch eine unerlaubte Handlung geschädigt wird?",11
"Welche Rechte hat ein Kläger, wenn er durch eine unerlaubte Handlung geschädigt wurde?",11
"Wie kann ein Schadensersatzanspruch aus § 823 Abs. 1 BGB wegen Verletzung eines eigenen deliktsrechtlich geschützten Rechtsgutes geltend gemacht werden, wenn der Geschädigte nicht (Allein-)Inhaber des geschädigten Vermögens ist?",74
Welche Rolle spielt die Gesellschaft des bürgerlichen Rechts bei der Geltendmachung eines Schadensersatzanspruchs aus § 823 Abs. 1 BGB?,74
Welche Rechtsgrundlage gilt für die Zurechnung von Beratungsfehlern eines Dritten auf eine Bank?,17
Welche Rechtsfolgen hat die Verletzung einer deliktsrechtlich geschützten Rechtsposition?,31
Unter welchen Voraussetzungen kann ein Schadensersatzanspruch aus § 844 Abs. 2 BGB oder § 845 BGB geltend gemacht werden?,74
Welche Bedeutung hat die Gesamtrechtsnachfolge im Hinblick auf Schadensersatzansprüche?,75
"Welche Voraussetzungen müssen erfüllt sein, damit ein nicht im Pflichtenkreis einer Bank tätiger Dritter für dessen Beratungsfehler haftet?",24
"Wer ist verpflichtet, Anleger über eine bekannte arglistige Täuschung durch einen Dritten zu informieren?",33
"Wie kann ein Anleger nachweisen, dass eine Bank von einer arglistigen Täuschung durch einen Dritten Kenntnis hatte?",33
Welche Rolle spielt das institutionalisierte Zusammenwirken bei der Zurechnung von Beratungsfehlern?,5
Welche Rechtsgrundlage gilt für die Haftung einer Bank bei unterbliebener Aufklärung über eine an die A. AG geflossene Rückvergütung?,144
"Wer ist verpflichtet, Anleger über eine erkannte allgemeine Unseriösität eines Unternehmens zu informieren?",40
"Welche Bedingungen müssen erfüllt sein, damit eine Bank wegen einer Beteiligung an einer sittenwidrigen vorsätzlichen Schädigung eines Kunden haften kann?",24
"Wie kann ein Anleger nachweisen, dass er durch eine arglistige Täuschung geschädigt wurde?",33
"Welche Rechtsfolge tritt ein, wenn eine Bank ihre Aufklärungspflichten regarding einer arglistigen Täuschung durch einen Dritten verletzt?",33
Welche Rechtsgrundlage gilt für die Haftung einer Bank bei unterbliebener Aufklärung über eine bekannte arglistige Täuschung durch einen Dritten?,144
"Welche Verpflichtungen hat das Gericht im Hinblick auf die Aufklärungspflicht nach § 139 ZPO, wenn es den Eindruck hat, dass eine Partei ihre Aussagen nicht vollständig dargelegt hat?",11
"Unter welchen Umständen kann eine Regelung in einem Mietvertrag als Allgemeine Geschäftsbedingung (AGB) eingestuft werden, obwohl sie vor Inkrafttreten des AGBG geschlossen wurde?",46
"Wie kann eine Partei beweisen, dass eine Klausel in einem Vertrag individuell ausgehandelt wurde, um die Anwendung des AGBG zu vermeiden?",46
Welche Rolle spielt die mündliche Verhandlung im Hinblick auf die Ergänzung des Parteivortrags durch das Gericht?,8
Welche Rechtsfolgen hat die Verletzung der richterlichen Aufklärungspflicht nach § 539 ZPO?,103
"Wer ist verpflichtet, die Anwendung des AGBG auf einen Vertrag zu überprüfen, wenn dieser vor Inkrafttreten des AGBG geschlossen wurde?",46
"Wie kann ein Gericht feststellen, ob eine Klausel in einem Vertrag gegen wesentliche Grundgedanken der gesetzlichen Regelung verstößt und somit unwirksam ist?",97
"Welche Bedeutung hat die rechtliche Wertung des Gerichts für die Hinweispflicht nach §§ 139, 278 Abs. 3 ZPO?",74
"Welche Voraussetzungen müssen erfüllt sein, damit eine Schönheitsreparaturklausel in einem Mietvertrag als angemessen gilt?",24
"Wer ist berechtigt, die Fristen für Schönheitsreparaturen in einem Mietvertrag zu verlängern oder zu verkürzen?",23
"Wie kann ein Mieter sicherstellen, dass er nicht ohne Renovierungsbedarf zur Ausführung von Schönheitsreparaturen verpflichtet wird?",40
Welche Rolle spielt der Abnutzungsgrad der gemieteten Räume bei der Festlegung der Fristen für Schönheitsreparaturen?,173
Wann kann ein Mieter von der Geltung der in einem Mietvertrag vereinbarten Fristen für Schönheitsreparaturen abweichen?,7
"Welche Rechte hat ein Mieter, wenn der Vermieter die Fristen für Schönheitsreparaturen unangemessen festlegt?",10
Welche Rechtsgrundlage gilt für die Zurechnung von Schönheitsreparaturen auf den Mieter?,17
"Welche Bedingungen müssen erfüllt sein, damit ein Mieter von der Geltung der in einem Mietvertrag vereinbarten Fristen für Schönheitsreparaturen abweichen kann?",24
"Welche Voraussetzungen müssen erfüllt sein, damit ein Schadensersatzanspruch gemäß § 2 Abs. 1 Satz 1 HPflG besteht?",74
"Welche Funktion muss eine Anlage erfüllen, damit ihr Inhaber nach § 2 Abs. 1 Satz 1 HPflG zum Schadensersatz verpflichtet ist?",74
"Wer ist verpflichtet, den Schaden zu ersetzen, wenn dieser durch die Wirkungen von Elektrizität verursacht wurde, die von einer Stromleitungs- oder Rohrleitungsanlage ausgehen?",146
"Unter welchen Bedingungen ist der Inhaber einer Anlage zur Abgabe von Elektrizität nicht zum Schadensersatz verpflichtet, obwohl der Schaden durch die Wirkungen von Elektrizität verursacht wurde?",11
Welche Rolle spielt der Schutzzweck der Haftungsvorschrift in § 2 Abs. 1 Satz 1 HPflG bei der Interpretation der Vorschrift?,74
"Welche Rechtsgrundlage gilt für die Haftung des Inhabers einer Anlage, wenn der Schaden nicht auf die Wirkungen von Elektrizität zurückzuführen ist, aber auf das Vorhandensein der Anlage?",11
"Wer ist verpflichtet, den Schaden zu ersetzen, wenn dieser auf das Vorhandensein einer Anlage zurückzuführen ist, aber nicht auf die Wirkungen von Elektrizität, Gasen, Dämpfen oder Flüssigkeiten?",146
"Unter welchen Bedingungen ist der Inhaber einer Anlage nicht zum Schadensersatz verpflichtet, wenn der Schaden auf das Vorhandensein der Anlage zurückzuführen ist?",11
Was ist ein ordnungsmäßiger Zustand einer Anlage nach § 2 Abs. 1 Satz 3 HPflG?,184
Welche Bedeutung hat die Intention des Gesetzgebers bei der Auslegung der Haftungsvorschriften in § 2 HPflG?,103
Unter welchen Voraussetzungen ist ein Schlichtungsverfahren zwingend vor der Klageerhebung durchzuführen?,49
"Wer ist verpflichtet, vor der Klageerhebung ein Schlichtungsverfahren durchzuführen, wenn dies nach Landesrecht obligatorisch ist?",82
Welche Rolle spielt das Schlichtungsverfahren in Bezug auf die Zulässigkeit einer Klage?,152
Wie ist der Wille des Gesetzgebers bei der Einführung des obligatorischen Schlichtungsverfahrens nach § 15a EGZPO zu interpretieren?,51
Welche Rechtsgrundlage gilt für die Durchführung eines obligatorischen Schlichtungsverfahrens vor der Klageerhebung?,17
"Welche Rechtsfolge tritt ein, wenn das obligatorische Schlichtungsverfahren nicht durchgeführt wird, bevor die Klage erhoben wird?",104
"Warum ist es wichtig, dass das Schlichtungsverfahren vor der Klageerhebung durchgeführt wird, um die Ziele des Gesetzgebers zu erreichen?",40
Welche Bedeutung hat der Wortlaut des § 15a EGZPO für die Interpretation der Vorschrift?,103
"Wie ist der Begriff ""obligatorisch"" in Bezug auf das Schlichtungsverfahren nach § 15a EGZPO zu verstehen?",51
Welche Rechtsgrundlage gilt für die Nachholung des Schlichtungsverfahrens während des Rechtsstreits?,17
"Welche Voraussetzungen müssen erfüllt sein, damit ein Vertragspartner eine fristlose Kündigung wegen eines wichtigen Grundes aussprechen kann?",24
Unter welchen Bedingungen kann eine Kündigungserklärung durch eine ordentliche Kündigung ersetzt werden?,18
Welche Rolle spielt das AGB-Gesetz bei der Überprüfung von Kündigungsklauseln in Allgemeinen Geschäftsbedingungen?,4
"Wer ist verpflichtet, die vereinbarte Vergütung zu zahlen, wenn ein Vertrag nicht ordnungsgemäß gekündigt wurde?",10
"Welche Rechtsfolge tritt ein, wenn eine Kündigung unwirksam ist und der Vertragspartner die vereinbarte Vergütung nicht zahlt?",10
